Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct,
 Matt Moulson,BUF,18,,6,,2,,8,,-2,,2,,11,,8,,0,,0,,N/A,,5,,2,,0,,0,,0,,46,,0.13,
 Jason Demers,FLA,18,,2,,6,,8,,-3,,6,,15,,17,,0,,0,,N/A,,0,,3,,0,,1,,0,,19,,0.105,
 Sean Couturier,PHI,19,,5,,3,,8,,-5,,14,,13,,14,,160,,167,,0.489,,0,,1,,0,,1,,1,,30,,0.167,
 Anze Kopitar,LOS,15,,2,,6,,8,,1,,2,,19,,11,,194,,178,,0.522,,0,,2,,0,,1,,0,,37,,0.054,
 William Karlsson,COB,15,,3,,5,,8,,4,,2,,6,,3,,90,,112,,0.446,,0,,0,,0,,1,,1,,24,,0.125,
 Brian Campbell,CHI,19,,2,,6,,8,,4,,6,,14,,18,,0,,0,,N/A,,1,,2,,0,,0,,0,,20,,0.1,
 Pavel Buchnevich,NYR,10,,4,,4,,8,,4,,4,,3,,3,,0,,1,,0,,1,,2,,0,,0,,0,,18,,0.222,
 Matt Niskanen,WAS,17,,0,,8,,8,,3,,6,,23,,24,,0,,0,,N/A,,0,,0,,0,,1,,0,,31,,0,
 Dennis Seidenberg,NYI,15,,4,,4,,8,,10,,12,,18,,38,,0,,0,,N/A,,0,,0,,0,,0,,0,,18,,0.222,
 Gabriel Landeskog,COL,15,,4,,4,,8,,-1,,9,,31,,6,,9,,13,,0.409,,2,,0,,0,,0,,2,,32,,0.125,
 Mike Fisher,NAS,13,,3,,5,,8,,-6,,25,,36,,11,,119,,100,,0.543,,3,,3,,0,,0,,1,,23,,0.13,
 Tobias Rieder,ARI,15,,5,,3,,8,,3,,0,,4,,12,,0,,2,,0,,0,,0,,0,,1,,0,,28,,0.179,
 Devin Shore,DAL,19,,1,,7,,8,,-7,,4,,9,,16,,84,,95,,0.469,,0,,3,,0,,0,,0,,22,,0.045,
 Rasmus Ristolainen,BUF,18,,0,,8,,8,,-3,,12,,39,,32,,0,,0,,N/A,,0,,6,,0,,0,,0,,38,,0,
 Sean Monahan,CGY,19,,5,,3,,8,,-8,,8,,9,,7,,181,,171,,0.514,,1,,0,,0,,0,,1,,38,,0.132,
 P.A. Parenteau,NJD,17,,5,,3,,8,,-3,,8,,15,,0,,0,,5,,0,,1,,0,,0,,0,,0,,35,,0.143,
 Leo Komarov,TOR,18,,3,,5,,8,,2,,9,,65,,13,,22,,22,,0.5,,0,,2,,1,,0,,0,,22,,0.136,
 Lee Stempniak,CAR,16,,4,,4,,8,,3,,10,,27,,4,,1,,2,,0.333,,1,,0,,0,,0,,0,,26,,0.154,
 Ondrej Palat,TAM,19,,3,,5,,8,,-5,,13,,38,,8,,1,,2,,0.333,,0,,3,,0,,0,,0,,30,,0.1,
 Thomas Vanek,DET,7,,4,,4,,8,,5,,4,,3,,1,,0,,1,,0,,2,,2,,0,,0,,0,,13,,0.308,
 Ryan Nugent-Hopkins,EDM,19,,2,,6,,8,,-3,,4,,12,,3,,133,,150,,0.47,,2,,0,,0,,0,,1,,55,,0.036,
 Troy Brouwer,CGY,19,,4,,4,,8,,-4,,10,,45,,11,,10,,22,,0.313,,0,,2,,1,,0,,0,,30,,0.133,
 Mark Stone,OTT,17,,3,,5,,8,,-5,,6,,16,,12,,3,,3,,0.5,,0,,1,,0,,0,,2,,28,,0.107,
 Erik Johnson,COL,17,,0,,8,,8,,-2,,2,,35,,46,,0,,0,,N/A,,0,,4,,0,,0,,0,,36,,0,
 Denis Malgin,FLA,18,,4,,4,,8,,3,,6,,12,,5,,37,,62,,0.374,,1,,0,,0,,0,,1,,24,,0.167,
 Antoine Vermette,ANA,18,,3,,5,,8,,0,,16,,18,,14,,179,,97,,0.649,,1,,1,,0,,0,,0,,25,,0.12,
 Adam Henrique,NJD,17,,3,,5,,8,,7,,10,,22,,16,,128,,135,,0.487,,0,,0,,0,,0,,1,,27,,0.111,
 Frans Nielsen,DET,18,,3,,5,,8,,-6,,0,,15,,11,,138,,133,,0.509,,0,,5,,1,,0,,0,,35,,0.086,
 Conor Sheary,PIT,11,,3,,5,,8,,6,,4,,5,,5,,0,,0,,N/A,,0,,0,,0,,0,,1,,20,,0.15,
 Matt Read,PHI,19,,6,,2,,8,,0,,2,,38,,11,,0,,4,,0,,2,,0,,0,,0,,0,,29,,0.207,
 Sami Vatanen,ANA,18,,1,,7,,8,,2,,2,,26,,41,,0,,0,,N/A,,1,,5,,0,,0,,0,,25,,0.04,
 Sam Reinhart,BUF,18,,3,,4,,7,,-3,,4,,4,,7,,39,,55,,0.415,,2,,2,,0,,0,,1,,43,,0.07,
 Nikita Zaitsev,TOR,18,,0,,7,,7,,-4,,4,,45,,32,,0,,0,,N/A,,0,,2,,0,,0,,0,,20,,0,
 Drew Doughty,LOS,19,,2,,5,,7,,3,,14,,33,,35,,1,,0,,1,,0,,1,,0,,0,,0,,43,,0.047,
 Matthew Tkachuk,CGY,15,,4,,3,,7,,1,,21,,15,,4,,1,,4,,0.2,,0,,0,,0,,0,,1,,27,,0.148,
 Ivan Provorov,PHI,19,,0,,7,,7,,-8,,8,,27,,32,,0,,0,,N/A,,0,,2,,0,,0,,0,,33,,0,
 Colin Wilson,NAS,16,,2,,5,,7,,0,,6,,12,,8,,0,,2,,0,,1,,0,,0,,0,,0,,28,,0.071,
 Brayden Point,TAM,19,,2,,5,,7,,0,,4,,8,,7,,3,,3,,0.5,,2,,1,,0,,0,,0,,38,,0.053,
 Noah Hanifin,CAR,16,,0,,7,,7,,-8,,8,,11,,9,,0,,0,,N/A,,0,,3,,0,,0,,0,,30,,0,
 Andre Burakovsky,WAS,17,,2,,5,,7,,-3,,0,,7,,7,,0,,0,,N/A,,0,,0,,0,,0,,0,,33,,0.061,
 John Carlson,WAS,17,,0,,7,,7,,1,,0,,13,,24,,0,,0,,N/A,,0,,2,,0,,0,,0,,44,,0,
 Adam Lowry,WPG,20,,5,,2,,7,,-2,,17,,46,,11,,155,,168,,0.48,,1,,2,,0,,0,,0,,29,,0.172,
 Micheal Ferland,CGY,19,,3,,4,,7,,-1,,5,,47,,6,,0,,0,,N/A,,1,,1,,0,,0,,0,,25,,0.12,
 Patrick Wiercioch,COL,15,,2,,5,,7,,1,,13,,15,,21,,0,,0,,N/A,,0,,0,,0,,0,,0,,19,,0.105,
 Mike Hoffman,OTT,16,,3,,4,,7,,-6,,8,,7,,8,,1,,2,,0.333,,1,,2,,0,,0,,2,,53,,0.057,
 Joonas Donskoi,SAN,18,,2,,5,,7,,-2,,8,,8,,6,,0,,0,,N/A,,1,,2,,0,,0,,0,,35,,0.057,
 Radko Gudas,PHI,13,,1,,6,,7,,-1,,7,,53,,40,,0,,0,,N/A,,0,,1,,0,,0,,0,,22,,0.045,
 Evgeny Kuznetsov,WAS,17,,2,,5,,7,,3,,8,,9,,5,,104,,149,,0.411,,0,,0,,0,,0,,0,,24,,0.083,
 Tyler Pitlick,EDM,19,,6,,1,,7,,-1,,4,,43,,6,,2,,1,,0.667,,0,,0,,0,,0,,1,,32,,0.188,
 Jason Zucker,MIN,17,,2,,5,,7,,8,,6,,17,,5,,1,,1,,0.5,,0,,0,,0,,0,,0,,23,,0.087,
 Tyson Barrie,COL,17,,1,,6,,7,,-7,,4,,12,,17,,0,,0,,N/A,,0,,3,,0,,0,,1,,41,,0.024,
 Kyle Palmieri,NJD,17,,3,,4,,7,,6,,8,,36,,7,,3,,5,,0.375,,1,,2,,0,,0,,1,,37,,0.081,
 Michael Matheson,FLA,17,,2,,5,,7,,0,,4,,15,,22,,1,,0,,1,,0,,1,,0,,0,,0,,38,,0.053,
 Colton Parayko,STL,19,,0,,7,,7,,-4,,8,,14,,34,,0,,0,,N/A,,0,,1,,0,,0,,0,,54,,0,
 Connor Brown,TOR,18,,3,,4,,7,,2,,4,,18,,16,,0,,0,,N/A,,0,,0,,0,,0,,1,,22,,0.136,
 Andrew Shaw,MON,19,,3,,4,,7,,7,,34,,50,,10,,78,,58,,0.574,,1,,0,,0,,0,,0,,34,,0.088,
 Markus Granlund,VAN,19,,5,,2,,7,,-6,,6,,10,,3,,28,,38,,0.424,,1,,0,,0,,0,,1,,34,,0.147,
 John Moore,NJD,17,,3,,4,,7,,5,,10,,12,,16,,0,,0,,N/A,,0,,0,,0,,0,,0,,27,,0.111,
 Nick Leddy,NYI,16,,3,,4,,7,,-9,,4,,19,,27,,0,,0,,N/A,,1,,0,,0,,0,,0,,32,,0.094,
 Craig Smith,NAS,16,,5,,2,,7,,-2,,12,,19,,5,,18,,16,,0.529,,2,,1,,0,,0,,0,,35,,0.143,
 Jonathan Drouin,TAM,12,,3,,4,,7,,-2,,4,,7,,7,,21,,23,,0.477,,2,,1,,0,,0,,0,,34,,0.088,
 Ryan Spooner,BOS,17,,3,,4,,7,,-2,,6,,6,,4,,7,,7,,0.5,,2,,1,,0,,0,,0,,40,,0.075,
 Martin Hanzal,ARI,12,,3,,4,,7,,-4,,2,,26,,12,,145,,116,,0.556,,0,,2,,0,,0,,1,,33,,0.091,
 Loui Eriksson,VAN,19,,3,,4,,7,,-7,,0,,1,,9,,0,,0,,N/A,,1,,1,,0,,1,,0,,33,,0.091,
 Marc-Edouard Vlasic,SAN,18,,3,,4,,7,,2,,22,,7,,29,,0,,0,,N/A,,1,,2,,0,,0,,2,,32,,0.094,
 Jason Spezza,DAL,12,,4,,3,,7,,-9,,2,,3,,4,,61,,53,,0.535,,1,,2,,0,,0,,1,,28,,0.143,
 Devin Setoguchi,LOS,19,,3,,4,,7,,0,,6,,23,,3,,2,,2,,0.5,,0,,1,,0,,0,,0,,29,,0.103,
 Lauri Korpikoski,DAL,19,,4,,3,,7,,0,,4,,11,,12,,0,,3,,0,,0,,0,,0,,0,,0,,29,,0.138,
 Toby Enstrom,WPG,20,,1,,6,,7,,1,,10,,5,,28,,0,,0,,N/A,,0,,3,,1,,0,,0,,23,,0.043,
 Cal Clutterbuck,NYI,17,,2,,5,,7,,-1,,8,,67,,9,,1,,2,,0.333,,0,,0,,0,,0,,1,,28,,0.071,
 Darren Helm,DET,17,,4,,3,,7,,6,,8,,21,,6,,106,,83,,0.561,,2,,0,,0,,1,,1,,28,,0.143,
 Anton Stralman,TAM,15,,1,,6,,7,,2,,0,,16,,13,,0,,0,,N/A,,0,,4,,0,,0,,0,,22,,0.045,
 Alex Goligoski,ARI,17,,0,,7,,7,,-5,,4,,18,,26,,0,,0,,N/A,,0,,2,,0,,0,,0,,28,,0,
 Mikael Backlund,CGY,19,,1,,6,,7,,-2,,6,,12,,17,,173,,160,,0.52,,0,,1,,0,,2,,0,,41,,0.024,
 Derick Brassard,OTT,18,,2,,5,,7,,-3,,4,,21,,3,,157,,156,,0.502,,1,,1,,0,,0,,0,,48,,0.042,
 David Backes,BOS,13,,3,,4,,7,,9,,19,,42,,10,,34,,40,,0.459,,0,,1,,0,,0,,0,,29,,0.103,
 Brian Gionta,BUF,18,,3,,4,,7,,0,,6,,15,,8,,7,,8,,0.467,,0,,0,,0,,0,,1,,40,,0.075,
 Torrey Mitchell,MON,19,,5,,2,,7,,6,,8,,6,,17,,108,,95,,0.532,,0,,0,,0,,0,,1,,11,,0.455,
 Dominic Moore,BOS,18,,4,,3,,7,,3,,12,,5,,13,,88,,66,,0.571,,0,,0,,1,,0,,1,,21,,0.19,
 Justin Faulk,CAR,13,,3,,3,,6,,-4,,8,,21,,15,,0,,0,,N/A,,1,,2,,0,,0,,0,,31,,0.097,
 Rene Bourque,COL,15,,5,,1,,6,,-4,,13,,25,,9,,0,,3,,0,,2,,0,,0,,0,,2,,26,,0.192,
 Reilly Smith,FLA,18,,3,,3,,6,,-3,,2,,17,,5,,1,,0,,1,,2,,0,,0,,0,,1,,38,,0.079,
 Zdeno Chara,BOS,18,,1,,5,,6,,12,,19,,27,,40,,0,,0,,N/A,,0,,1,,0,,0,,0,,26,,0.038,
 Jamie McGinn,ARI,12,,3,,3,,6,,-1,,8,,23,,7,,0,,1,,0,,0,,0,,0,,0,,1,,22,,0.136,
 Mikhail Grigorenko,COL,17,,1,,5,,6,,-2,,8,,8,,5,,33,,40,,0.452,,0,,3,,0,,0,,0,,22,,0.045,
 Jannik Hansen,VAN,12,,2,,4,,6,,-1,,21,,13,,2,,0,,0,,N/A,,0,,0,,0,,0,,0,,21,,0.095,
 Kevin Klein,NYR,15,,0,,6,,6,,5,,0,,23,,38,,0,,0,,N/A,,0,,1,,0,,1,,0,,15,,0,
 Ryan Ellis,NAS,17,,3,,3,,6,,2,,4,,25,,35,,0,,0,,N/A,,0,,2,,0,,0,,2,,26,,0.115,
 Carl Hagelin,PIT,18,,2,,4,,6,,-1,,2,,18,,9,,0,,1,,0,,0,,0,,0,,1,,0,,38,,0.053,
 Matt Dumba,MIN,17,,2,,4,,6,,4,,10,,25,,18,,0,,0,,N/A,,1,,1,,0,,0,,1,,36,,0.056,
 Mark Giordano,CGY,19,,1,,5,,6,,-2,,18,,14,,47,,0,,0,,N/A,,0,,2,,0,,1,,0,,47,,0.021,
 Bobby Ryan,OTT,17,,3,,3,,6,,-1,,6,,18,,11,,1,,1,,0.5,,1,,1,,0,,0,,0,,33,,0.091,
 Sven Baertschi,VAN,19,,1,,5,,6,,-6,,0,,11,,10,,1,,0,,1,,0,,1,,0,,0,,1,,31,,0.032,
 Nathan Beaulieu,MON,19,,1,,5,,6,,6,,13,,22,,32,,0,,0,,N/A,,0,,2,,0,,0,,1,,22,,0.045,
 Jonas Brodin,MIN,17,,1,,5,,6,,6,,8,,4,,21,,0,,0,,N/A,,0,,0,,0,,0,,1,,26,,0.038,
 Dougie Hamilton,CGY,19,,2,,4,,6,,-7,,20,,31,,20,,0,,0,,N/A,,0,,1,,0,,0,,1,,50,,0.04,
 Mark Letestu,EDM,18,,2,,4,,6,,-2,,0,,19,,10,,102,,93,,0.523,,0,,0,,2,,0,,2,,11,,0.182,
 Boone Jenner,COB,15,,2,,4,,6,,-6,,6,,33,,14,,25,,18,,0.581,,0,,1,,0,,0,,0,,31,,0.065,
 Dmitry Orlov,WAS,17,,1,,5,,6,,6,,8,,27,,21,,0,,0,,N/A,,0,,1,,0,,0,,0,,29,,0.034,
 Casey Cizikas,NYI,17,,2,,4,,6,,0,,12,,44,,21,,126,,147,,0.462,,0,,1,,0,,0,,1,,20,,0.1,
 Shane Prince,NYI,11,,3,,3,,6,,-3,,4,,16,,0,,3,,1,,0.75,,1,,0,,0,,0,,0,,17,,0.176,
 Johan Larsson,BUF,18,,2,,4,,6,,-4,,8,,21,,17,,134,,132,,0.504,,0,,0,,0,,0,,2,,18,,0.111,
 Tomas Tatar,DET,18,,2,,4,,6,,-4,,6,,16,,9,,3,,2,,0.6,,0,,1,,0,,0,,0,,42,,0.048,
 Dan Girardi,NYR,14,,3,,3,,6,,10,,4,,25,,37,,0,,0,,N/A,,0,,0,,0,,1,,3,,15,,0.2,
 Ryan Strome,NYI,17,,2,,4,,6,,-3,,14,,14,,6,,40,,46,,0.465,,1,,1,,0,,0,,0,,26,,0.077,
 Calvin de Haan,NYI,17,,1,,5,,6,,3,,20,,29,,41,,0,,0,,N/A,,0,,0,,0,,0,,0,,31,,0.032,
 Dwight King,LOS,19,,2,,4,,6,,4,,6,,32,,6,,3,,4,,0.429,,0,,0,,0,,0,,0,,26,,0.077,
 Johnny Boychuk,NYI,17,,2,,4,,6,,-1,,2,,43,,44,,0,,0,,N/A,,0,,1,,1,,0,,1,,44,,0.045,
 Tyler Motte,CHI,14,,3,,3,,6,,4,,10,,11,,12,,2,,2,,0.5,,0,,0,,0,,0,,0,,22,,0.136,
 Nic Petan,WPG,9,,1,,5,,6,,-2,,0,,1,,2,,41,,38,,0.519,,0,,3,,0,,0,,0,,15,,0.067,
 Marko Dano,WPG,10,,3,,3,,6,,1,,2,,18,,4,,1,,3,,0.25,,2,,0,,0,,0,,0,,12,,0.25,
 David Desharnais,MON,18,,3,,3,,6,,2,,2,,0,,4,,39,,50,,0.438,,0,,1,,0,,0,,0,,15,,0.2,
 Scottie Upshall,STL,16,,3,,3,,6,,-3,,11,,18,,0,,1,,3,,0.25,,0,,0,,0,,0,,0,,21,,0.143,
 Mikko Koivu,MIN,17,,2,,4,,6,,1,,6,,6,,22,,225,,191,,0.541,,0,,1,,0,,1,,1,,23,,0.087,
 Anthony Beauvillier,NYI,13,,2,,4,,6,,3,,2,,17,,3,,9,,9,,0.5,,0,,0,,0,,0,,0,,12,,0.167,
 Michael Cammalleri,NJD,12,,3,,3,,6,,2,,10,,8,,3,,3,,3,,0.5,,0,,1,,0,,0,,1,,28,,0.107,
 Jason Pominville,MIN,17,,3,,3,,6,,0,,0,,14,,10,,5,,7,,0.417,,0,,2,,0,,0,,0,,31,,0.097,
 Trevor Daley,PIT,18,,2,,4,,6,,2,,12,,4,,34,,0,,0,,N/A,,1,,1,,0,,1,,0,,25,,0.08,
 Dylan Larkin,DET,18,,5,,1,,6,,-7,,17,,9,,6,,32,,44,,0.421,,1,,0,,0,,0,,1,,55,,0.091,
 Josh Anderson,COB,15,,5,,1,,6,,8,,17,,23,,10,,3,,5,,0.375,,0,,0,,0,,0,,1,,20,,0.25,
 Zach Parise,MIN,10,,2,,4,,6,,-1,,10,,9,,13,,0,,1,,0,,0,,1,,0,,0,,0,,32,,0.063,
 Luke Glendening,DET,18,,1,,5,,6,,2,,8,,48,,21,,77,,74,,0.51,,0,,1,,0,,0,,0,,23,,0.043,
 Seth Jones,COB,10,,3,,3,,6,,1,,0,,14,,21,,0,,0,,N/A,,0,,0,,0,,0,,1,,15,,0.2,
 Carl Soderberg,COL,17,,3,,2,,5,,-2,,12,,7,,13,,106,,105,,0.502,,1,,0,,0,,0,,0,,34,,0.088,
 Cody Franson,BUF,18,,1,,4,,5,,0,,8,,14,,13,,0,,0,,N/A,,1,,0,,0,,0,,0,,29,,0.034,
 Jared Spurgeon,MIN,13,,1,,4,,5,,5,,2,,8,,28,,0,,0,,N/A,,0,,1,,0,,1,,0,,26,,0.038,
 Jason Chimera,NYI,17,,1,,4,,5,,-6,,16,,29,,8,,4,,6,,0.4,,0,,0,,0,,0,,0,,26,,0.038,
 Dan Hamhuis,DAL,18,,0,,5,,5,,-5,,8,,23,,27,,0,,0,,N/A,,0,,0,,0,,1,,0,,23,,0,
 Joel Eriksson Ek,MIN,9,,2,,3,,5,,2,,2,,14,,5,,21,,35,,0.375,,0,,0,,0,,0,,1,,7,,0.286,
 Cedric Paquette,TAM,18,,1,,4,,5,,1,,14,,40,,9,,44,,43,,0.506,,0,,0,,0,,0,,0,,18,,0.056,
 Nick Lappin,NJD,11,,3,,2,,5,,1,,2,,7,,1,,2,,3,,0.4,,0,,0,,0,,0,,0,,19,,0.158,
 Mattias Ekholm,NAS,17,,0,,5,,5,,-3,,10,,12,,32,,0,,0,,N/A,,0,,1,,0,,1,,0,,26,,0,
 Mikko Rantanen,COL,12,,2,,3,,5,,-4,,4,,1,,7,,8,,3,,0.727,,1,,2,,0,,0,,0,,24,,0.083,
 Devante Smith-Pelly,NJD,15,,2,,3,,5,,-2,,2,,26,,5,,5,,7,,0.417,,0,,1,,0,,0,,0,,30,,0.067,
 Beau Bennett,NJD,16,,0,,5,,5,,0,,4,,13,,3,,1,,2,,0.333,,0,,0,,0,,0,,0,,27,,0,
 Derek Forbort,LOS,19,,1,,4,,5,,1,,30,,42,,41,,0,,0,,N/A,,0,,0,,0,,0,,0,,17,,0.059,
 Jesse Puljujarvi,EDM,15,,1,,4,,5,,3,,2,,6,,3,,0,,0,,N/A,,1,,0,,0,,0,,0,,30,,0.033,
 Johnny Oduya,DAL,19,,1,,4,,5,,2,,6,,8,,44,,0,,0,,N/A,,0,,0,,0,,0,,0,,15,,0.067,
 Chris Stewart,MIN,17,,2,,3,,5,,0,,24,,25,,4,,0,,1,,0,,0,,1,,0,,0,,0,,11,,0.182,
 Shane Doan,ARI,17,,1,,4,,5,,-2,,2,,29,,11,,21,,27,,0.438,,1,,1,,0,,0,,0,,30,,0.033,
 Alexandre Burrows,VAN,15,,2,,3,,5,,-1,,23,,10,,2,,0,,3,,0,,0,,0,,0,,1,,0,,32,,0.063,
 Derek MacKenzie,FLA,18,,2,,3,,5,,6,,9,,44,,10,,101,,94,,0.518,,0,,0,,0,,1,,0,,20,,0.1,
 Alex Petrovic,FLA,16,,1,,4,,5,,8,,6,,31,,16,,0,,0,,N/A,,0,,0,,0,,0,,0,,14,,0.071,
 Andrej Sekera,EDM,19,,1,,4,,5,,4,,6,,13,,29,,0,,0,,N/A,,0,,1,,0,,0,,0,,19,,0.053,
 Patrick Marleau,SAN,18,,4,,1,,5,,-2,,4,,19,,5,,13,,15,,0.464,,1,,1,,0,,0,,1,,42,,0.095,
 Jean-Gabriel Pageau,OTT,18,,2,,3,,5,,3,,4,,40,,14,,101,,72,,0.584,,0,,0,,0,,0,,0,,37,,0.054,
 Tim Schaller,BOS,15,,3,,2,,5,,0,,13,,17,,8,,16,,9,,0.64,,0,,0,,0,,0,,1,,21,,0.143,
 Jaccob Slavin,CAR,16,,1,,4,,5,,1,,2,,7,,29,,0,,0,,N/A,,0,,1,,0,,0,,0,,21,,0.048,
 Radek Faksa,DAL,19,,1,,4,,5,,2,,15,,22,,17,,145,,164,,0.469,,0,,0,,0,,0,,0,,32,,0.031,
 Ron Hainsey,CAR,16,,1,,4,,5,,-1,,6,,24,,18,,0,,0,,N/A,,0,,0,,1,,0,,0,,17,,0.059,
 Josh Manson,ANA,18,,0,,5,,5,,2,,36,,42,,17,,0,,0,,N/A,,0,,0,,0,,0,,0,,19,,0,
 Torey Krug,BOS,18,,1,,4,,5,,-4,,8,,21,,15,,0,,0,,N/A,,0,,2,,0,,0,,0,,56,,0.018,
 Ryan Hartman,CHI,14,,4,,1,,5,,2,,2,,19,,7,,1,,3,,0.25,,0,,0,,0,,0,,0,,26,,0.154,
 Jordie Benn,DAL,17,,1,,4,,5,,1,,10,,10,,31,,0,,0,,N/A,,0,,2,,0,,0,,0,,23,,0.043,
 Nate Schmidt,WAS,15,,0,,5,,5,,1,,2,,12,,7,,0,,0,,N/A,,0,,0,,0,,0,,0,,17,,0,
 Dennis Wideman,CGY,12,,2,,3,,5,,1,,4,,11,,13,,0,,0,,N/A,,2,,1,,0,,0,,0,,26,,0.077,
 Brett Ritchie,DAL,19,,4,,1,,5,,-2,,13,,34,,5,,0,,0,,N/A,,1,,0,,0,,0,,0,,36,,0.111,
 Andreas Athanasiou,DET,13,,4,,1,,5,,1,,0,,5,,4,,1,,3,,0.25,,0,,0,,0,,0,,0,,20,,0.2,
 Austin Czarnik,BOS,14,,2,,3,,5,,0,,4,,3,,8,,5,,17,,0.227,,0,,1,,0,,0,,1,,20,,0.1,
 Darnell Nurse,EDM,19,,3,,2,,5,,-5,,17,,50,,20,,0,,0,,N/A,,0,,0,,0,,0,,0,,35,,0.086,
 Patrice Bergeron,BOS,15,,3,,2,,5,,0,,4,,11,,11,,205,,143,,0.589,,1,,0,,0,,0,,1,,59,,0.051,
 Tomas Plekanec,MON,19,,1,,4,,5,,0,,4,,15,,17,,177,,170,,0.51,,0,,3,,1,,0,,1,,40,,0.025,
 Oscar Klefbom,EDM,19,,2,,3,,5,,-1,,0,,13,,32,,0,,0,,N/A,,0,,1,,0,,0,,1,,43,,0.047,
 Nick Ritchie,ANA,16,,4,,1,,5,,1,,8,,56,,5,,2,,1,,0.667,,1,,0,,0,,0,,1,,35,,0.114,
 Brian Boyle,TAM,18,,4,,1,,5,,3,,29,,23,,13,,59,,55,,0.518,,0,,0,,0,,0,,0,,25,,0.16,
 Christian Dvorak,ARI,13,,1,,4,,5,,2,,2,,9,,14,,72,,81,,0.471,,0,,1,,0,,0,,0,,11,,0.091,
 Pavel Zacha,NJD,17,,1,,4,,5,,-3,,6,,21,,11,,47,,64,,0.423,,0,,1,,0,,0,,0,,19,,0.053,
 Nick Cousins,PHI,15,,2,,3,,5,,1,,2,,17,,7,,10,,29,,0.256,,0,,1,,0,,0,,0,,22,,0.091,
 Travis Hamonic,NYI,14,,2,,3,,5,,-8,,23,,21,,32,,0,,0,,N/A,,0,,1,,0,,0,,0,,18,,0.111,
 Nick Bonino,PIT,18,,1,,4,,5,,-4,,4,,15,,26,,150,,158,,0.487,,0,,1,,1,,0,,0,,25,,0.04,
 Tyler Myers,WPG,11,,2,,3,,5,,5,,13,,12,,21,,0,,0,,N/A,,0,,0,,0,,1,,0,,16,,0.125,
 Tommy Wingels,SAN,17,,4,,1,,5,,0,,0,,22,,7,,27,,35,,0.435,,0,,0,,0,,0,,2,,20,,0.2,
 Tom Pyatt,OTT,18,,2,,3,,5,,1,,2,,10,,20,,7,,9,,0.438,,0,,0,,0,,1,,0,,24,,0.083,
